Team,Year,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,
Atlanta Hawks,2014,82,38,44,0.463,3966,8282,3061,6688,45.8,768,2116,36.3,1392,1782,78.1,713,2565,3278,2041,1251,680,326,354,1577,1643,-39,
Boston Celtics,2014,82,25,57,0.305,3946,7892,2996,6883,43.5,575,1729,33.3,1325,1706,77.7,980,2505,3485,1726,1261,584,343,373,1743,1564,-366,
Brooklyn Nets,2014,82,44,38,0.537,3976,8079,2931,6391,45.9,709,1922,36.9,1508,2002,75.3,721,2407,3128,1714,1191,705,311,337,1777,1704,-82,
Charlotte Bobcats,2014,82,43,39,0.524,3981,7942,2976,6730,44.2,516,1471,35.1,1474,2000,73.7,776,2724,3500,1778,1010,499,421,415,1493,1716,-18,
Chicago Bulls,2014,82,48,34,0.585,3986,7680,2843,6577,43.2,508,1459,34.8,1486,1908,77.9,937,2683,3620,1860,1223,594,424,490,1565,1714,152,
Cleveland Cavaliers,2014,82,33,49,0.402,3986,8054,3036,6955,43.7,584,1640,35.6,1398,1861,75.1,989,2629,3618,1738,1163,579,304,461,1640,1599,-270,
Dallas Mavericks,2014,82,49,33,0.598,3966,8597,3249,6858,47.4,721,1877,38.4,1378,1733,79.5,840,2514,3354,1935,1110,704,356,288,1636,1633,197,
Denver Nuggets,2014,82,36,46,0.439,3951,8559,3147,7042,44.7,702,1959,35.8,1563,2154,72.6,1009,2717,3726,1838,1305,615,459,459,1890,1778,-176,
Detroit Pistons,2014,82,29,53,0.354,3956,8286,3182,7124,44.7,507,1580,32.1,1415,2111,67,1196,2525,3721,1714,1193,687,395,403,1666,1699,-300,
Golden State Warriors,2014,82,51,31,0.622,3966,8549,3236,7005,46.2,774,2037,38,1303,1731,75.3,896,2819,3715,1912,1247,642,407,342,1784,1584,394,
Houston Rockets,2014,82,54,28,0.659,3966,8829,3118,6603,47.2,779,2179,35.8,1814,2549,71.2,920,2797,3717,1755,1323,621,461,460,1676,1993,374,
Indiana Pacers,2014,82,56,26,0.683,3956,7933,2949,6573,44.9,550,1542,35.7,1485,1907,77.9,834,2831,3665,1651,1237,550,446,378,1675,1793,361,
Los Angeles Clippers,2014,82,57,25,0.695,3951,8850,3208,6761,47.4,693,1966,35.2,1741,2384,73,858,2668,3526,2016,1136,703,397,284,1767,1919,572,
Los Angeles Lakers,2014,82,27,55,0.329,3941,8442,3139,6980,45,774,2032,38.1,1390,1835,75.7,745,2620,3365,2006,1239,611,446,387,1627,1580,-516,
Memphis Grizzlies,2014,82,50,32,0.61,3961,7884,3122,6723,46.4,405,1147,35.3,1235,1666,74.1,950,2526,3476,1792,1124,631,375,410,1568,1553,129,
Miami Heat,2014,82,54,28,0.659,3976,8380,3142,6272,50.1,665,1829,36.4,1431,1884,76,627,2397,3024,1847,1212,732,367,256,1596,1675,390,
Milwaukee Bucks,2014,82,15,67,0.183,3976,7829,2952,6737,43.8,548,1553,35.3,1377,1843,74.7,971,2399,3370,1760,1238,541,403,413,1713,1690,-671,
Minnesota Timberwolves,2014,82,40,42,0.488,3971,8768,3189,7175,44.4,600,1757,34.1,1790,2301,77.8,1024,2644,3668,1963,1142,718,297,457,1504,1936,219,
New Orleans Pelicans,2014,82,34,48,0.415,3971,8177,3101,6761,45.9,486,1303,37.3,1489,1936,76.9,933,2486,3419,1745,1129,647,523,504,1857,1664,-222,
New York Knicks,2014,82,37,45,0.451,3971,8084,3027,6739,44.9,759,2038,37.2,1271,1670,76.1,870,2437,3307,1641,1063,631,367,277,1815,1611,-65,
Oklahoma City Thunder,2014,82,59,23,0.72,3961,8705,3194,6782,47.1,664,1839,36.1,1653,2052,80.6,887,2781,3668,1794,1256,678,501,296,1858,1672,520,
Orlando Magic,2014,82,23,59,0.28,3991,7914,3022,6784,44.5,563,1596,35.3,1307,1714,76.3,794,2654,3448,1726,1222,630,350,445,1678,1500,-446,
Philadelphia 76ers,2014,82,19,63,0.232,3971,8155,3108,7150,43.5,577,1847,31.2,1362,1918,71,949,2556,3505,1791,1384,765,330,558,1844,1686,-857,
Phoenix Suns,2014,82,48,34,0.585,3951,8629,3172,6845,46.3,765,2055,37.2,1520,2004,75.8,928,2601,3529,1563,1258,688,374,332,1798,1749,216,
Portland Trail Blazers,2014,82,54,28,0.659,3971,8753,3207,7134,45,770,2071,37.2,1569,1926,81.5,1022,2786,3808,1904,1125,454,387,304,1576,1698,327,
Sacramento Kings,2014,82,28,54,0.341,3966,8241,3026,6766,44.7,491,1475,33.3,1698,2237,75.9,990,2656,3646,1547,1249,587,318,459,1849,1897,-238,
San Antonio Spurs,2014,82,62,20,0.756,3951,8639,3326,6844,48.6,698,1757,39.7,1289,1642,78.5,762,2786,3548,2064,1180,604,420,379,1495,1585,633,
Toronto Raptors,2014,82,48,34,0.585,3991,8305,2992,6718,44.5,713,1917,37.2,1608,2055,78.2,935,2552,3487,1737,1159,577,343,352,1882,1815,266,
Utah Jazz,2014,82,25,57,0.305,3956,7791,2951,6652,44.4,543,1577,34.4,1346,1803,74.7,904,2477,3381,1664,1200,570,366,401,1699,1673,-588,
Washington Wizards,2014,82,44,38,0.537,4011,8254,3177,6920,45.9,647,1704,38,1253,1715,73.1,886,2573,3459,1909,1204,668,377,320,1675,1600,104,
Atlanta Hawks,2015,82,60,22,0.732,3946,8409,3121,6699,46.6,818,2152,38,1349,1735,77.8,715,2611,3326,2111,1167,744,380,404,1457,1611,445,
Boston Celtics,2015,82,40,42,0.488,3976,8312,3193,7211,44.3,660,2021,32.7,1266,1678,75.4,910,2685,3595,2009,1133,674,294,431,1738,1545,13,
Brooklyn Nets,2015,82,38,44,0.463,3986,8038,3069,6804,45.1,541,1633,33.1,1359,1817,74.8,846,2627,3473,1716,1133,576,340,372,1579,1641,-236,
