,Restaurant,Rating,Longtidude,Latitude,Reviewer_name,Reviewer_Rating,Text
0,El Taco Loco at Ramona Market,4,-116.865939,33.043082,Maricela M.,5,"Very nice people...Good California burritos, i love carne asada fries and tortas...they have shrimp and fish ceviche SO good, you have to try it!!My..."
1,El Taco Loco at Ramona Market,4,-116.865939,33.043082,Elle K.,5,"Outstanding tacos! Try the abodaba, al pastor, and carnitas tacos. Fresh tastey meat! Plus chicharrones for all you keto and whole 30 peeps!"
2,El Taco Loco at Ramona Market,4,-116.865939,33.043082,maria l.,1,I buy the fried beans from here all the time but lately I've almost broke my tooth found a huge rock in my beans at first it was small ones but now these...
3,Los Rancheros Mexican & Seafood,3.5,-116.8826671,33.03373817,Robert Z.,4,Re Visited 9/8/2020 Taco Tuesday is the time to visit this place.Birria de Res And Shrimp Street Tacos are only $1.00ea. Must buy 2 of the same protein at...
4,Los Rancheros Mexican & Seafood,3.5,-116.8826671,33.03373817,Manny P.,5,"I know there are a lot of taco shops in Ramona, but this one is wonderful.  The food is always fresh and delicious and their salsa (especially the green) is..."
5,Los Rancheros Mexican & Seafood,3.5,-116.8826671,33.03373817,Joni L.,5,"Eating pure yumminess from Los Rancheros in Ramona!!!!! So delish!!  Best Drive-Thru, made to order Mexican food!  We'll be back!"
6,Tacos Asadero,4.5,-117.059148,33.00225,Laura S.,5,Excellent tacos at this place in Rancho Bernardo. These tacos are flavorful and good portions and reasonable. The taco Al pastor are our family favorites....
7,Tacos Asadero,4.5,-117.059148,33.00225,Eva L.,5,"OK, sooo ... it's just that kind of night where we are just CRAVING for tacos. I mean come on, when one is in SD, one must try tacos because it tastes so..."
8,Tacos Asadero,4.5,-117.059148,33.00225,Jodi T.,5,They have outdoor seating during COVID. Their adobado tacos are yummy and loaded with meat and a moderate kick of heat. Definitely gotta support this taco...
9,Tacos el Trompo,4.5,-117.252822,33.03373817,Wei Ling L.,5,Spicy shrimp tacos and adobada (pork carved from a chunk of rotating grilling meat) tacos are the best!  Very quick service.
10,Tacos el Trompo,4.5,-117.252822,33.03373817,Selena C.,3,"Excited to have a taqueria in this part of town.  Food was ok, bland. Portions were good, place was clean."
11,Tacos el Trompo,4.5,-117.252822,33.03373817,Grant M.,5,"Really good tacos. Got the al pastor and the birria tacos and both were almost as good as the spots in Rosarito. No pina on the al pastor though, you might..."
12,La Cocina,4,-116.86392,33.04504,Linda R.,4,Food is good Especially like the Aidas burrito with sour cream This is a family owned & operated business
13,La Cocina,4,-116.86392,33.04504,Esther S.,5,This is my absolute go to place when I'm in Ramona. Living in San Diego there are so many Mexican food places that are great but this by far is my...
14,La Cocina,4,-116.86392,33.04504,Karl S.,5,"This is my favorite mid-level Mexican food in town. They have nice indoor seating so you can enjoy your food while you are there, but you order from the..."
15,Tacos El Gallo,4.5,-116.935444,32.801604,Michelle D.,5,love this place!!!! accidentally stumbled upon it on yelp's instagram and decided to check it out. i usually drive down south to chula to get tacos but this...
16,Tacos El Gallo,4.5,-116.935444,32.801604,Adrian S.,5,"I always forget to post this place, but if you want the best tacos in East County check this place out!! Tacos El Gallo originated from Tijuana and when My..."
17,Tacos El Gallo,4.5,-116.935444,32.801604,Dave B.,5,Today my wife and I tried out a new taco shop in El Cajon called Tacos El Gallo SD on 2nd St. They opened 3 weeks before quarantine and reopened again once...
18,TJ Tacos,4.5,-117.0724962,33.12831497,Sarah N.,5,Came here 15 mins past opening for dinner on a Wednesday during Covid.We did drive through and it took about 20 mins from our place in line to get the...
19,TJ Tacos,4.5,-117.0724962,33.12831497,Gus L.,5,"If you are a fan of tacos and live within 1000 nautical miles of Escondido, you should have tried TJ Tacos by now. If you are not a fan of tacos, then you..."
20,TJ Tacos,4.5,-117.0724962,33.12831497,Anna B.,5,Everyone keeps comparing this to Tacos El Gordo so I had to give it a try as that is one of my favorite spots to eat. I was in the area so I ordered through...
21,Los Amigos Mexican Food,2.5,-116.8185696,33.0058086,Isacc A.,3,"Pretty good a bit pricy for what it is.  Nothing huge to rave about, other than the green homemade salsa!!  The food is sometimes good and lacks..."
22,Los Amigos Mexican Food,2.5,-116.8185696,33.0058086,big sexy s.,5,"Picked up a breakfast burrito on my way back to LA, the Chorizo con huevo burrito was bombacious. I had them add frijoles and Queso to  round it all out., I..."
23,Los Amigos Mexican Food,2.5,-116.8185696,33.0058086,Dan E.,2,"#2 combination plate at Los Amigos in Ramona. Includes enchilada and chile relleno, $10 & change. I requested a beef enchilada and it was decent. I'll get..."
24,Quecho Elevated Mexican Eatery,4.5,-116.6008626,33.07829667,Brittany K.,5,"This was our first time coming here, and I would love to come back and bring even more people to experience their food! We got asada and shrimp street tacos..."
25,Quecho Elevated Mexican Eatery,4.5,-116.6008626,33.07829667,Bryce D.,5,"Was next to our hotel and it was snowing so we gave it a try. We got takeout, shrimp burrito, chicken quesadilla,  guacamole, carnitas  toco plate, a modelo..."
26,Quecho Elevated Mexican Eatery,4.5,-116.6008626,33.07829667,Guillermo M.,5,All the food we got from this place was perfect mexican fare. The street carnitas tacos were super tasty and they came with multiple types of salsas. The...
27,El Cabr�n,4,-117.0492679,32.74202978,Diana A.,4,"we discovered this place yesterday, which took the place of the good ol' Boll Weevil. decided to stop in to pick up an order of birria & an adobada torta...."
28,El Cabr�n,4,-117.0492679,32.74202978,Jack M.,2,"I hate to do this to a new place just starting out, but they do need work on a few things with regards to the food. I order two things, the Chicken..."
29,El Cabr�n,4,-117.0492679,32.74202978,Charlotte R.,4,"Driving by the day after Christmas, regretting too many celebratory libations, I noticed the MICHELADAS sign and had to stop. Not many places in the area..."
30,Mr Birria,4.5,-116.99629,32.83953,Alexis G.,5,Me and my boyfriend have been wanting to try this place for awhile now and today we finally had time to give it a try and I am soo glad we did!! I am so...
31,Mr Birria,4.5,-116.99629,32.83953,Jack M.,5,"So happy this place open in East County. I had the Trio Combo which included the beef taco, a mulita, a Quesa Taco, and consomé of beef broth, not to..."
32,Mr Birria,4.5,-116.99629,32.83953,Angela H.,5,I had been seeing so many posts on birria for the last months and had been really wanting to try it. So no better than a place named Mr. Birria. I got 2...
33,Taco Taco Poway,4,-117.04,32.95965,Saba N.,5,"Very delicious food with amazing service. Super fast, very polite. They are all super clean too. With Covid there is no seating but you wait outside. Love..."
34,Taco Taco Poway,4,-117.04,32.95965,Eboni R.,5,"This is spot was A.MAZING. My husband got the pork street tacos and I got the shrimp street tacos, both of us got our own elote. All of it - I mean, all of..."
35,Taco Taco Poway,4,-117.04,32.95965,Marie L.,3,"Staff very friendly, great service . Clean Tacos were not that good ,Dry tacos and the fish tacos needed more flavor .The beans , guacamole and rice..."
36,Bad Hombres Good Mexican Food,4.5,-116.996101,32.839187,Shay S.,5,Today was my first trip to Bad Hombres and I was not disappointed. I've driven by in the past and noticed it was open but I never got a chance to stop. I...
37,Bad Hombres Good Mexican Food,4.5,-116.996101,32.839187,Ronnee B.,5,"YESSSSS! Whatever your question, yes this place is amazing/worth it/delicious/etc!Got the Birria ramen - I grew up eating Birria and making it, it's not..."
38,Bad Hombres Good Mexican Food,4.5,-116.996101,32.839187,Jasmine S.,5,"I've been here twice so far and man, everything has been good. I put a lot of worth in how big/how packed a burrito is. I just got a Surfin Cali and it was..."
39,Mi Sonora Querida Foodtruck,5,-116.87258,33.03945,Michelle S.,5,Thanks to Dan E for writing his review a few months ago ... that put Mi Sonora Querida on the map for me!One evening after work I stopped by to order...
40,Mi Sonora Querida Foodtruck,5,-116.87258,33.03945,Dan E.,5,"Finally tried the Mi Sonora Querida Foodtruck recently!  Without a doubt, the best Mexican food I've had in Ramona.  That, I can tell you.  The food here is..."
41,Mi Sonora Querida Foodtruck,5,-116.87258,33.03945,Ruben Maverick M.,5,"Great food.Cannot compare it to east la sea food, but definitely good. Can always use a beer with a cocktail"
42,Taqueria Las Mulas,4.5,-116.946798,32.807893,Rigo D.,5,Had the Al pastor plate first outside meal after covid. Friendly and very clean place.
43,Taqueria Las Mulas,4.5,-116.946798,32.807893,Jessica G.,5,"Excellent customer service, after grub hub failed to pick up my food the owner delivered it himself. Tacos are delicious and I would most definitely order..."
44,Taqueria Las Mulas,4.5,-116.946798,32.807893,Diane S.,5,"Delicious food.. ordered Cali burritos, mulas nachos, and birria tacos and birra (soup). The birra was a little salty but nonetheless tasty! They provided..."
45,Three Amigos,4,-116.87385,32.939736,Ara M.,5,Very tasty burrito!  Tried the three amigos burrito just they way they make it-- huge and delicious!! I could tell it was freshly made and not just one or...
46,Three Amigos,4,-116.87385,32.939736,Jim R.,1,Very disappointed in the service that I've been receiving I went there tonight got a breakfast burrito my whole mouth my teeth was hurting everything I went...
47,Three Amigos,4,-116.87385,32.939736,Julie B.,4,The popular tacos at barona. I used to come here a lot for their $1 tacos but prices have been raised to $1.29ea. The tacos are street size tacos. They have...
48,Mariscos Mar De Cortez,4,-116.8699783,33.04354725,Desirae R.,5,Been going to this place since they opened. Food is quick. Service is friendly. They have been amazing during this pandemic quickly adapting to the needs of...
49,Mariscos Mar De Cortez,4,-116.86998,33.04354725,Charise B.,5,"Mariscos continues to wow me with both their service and quality. Every dish is the best I have had I have had in terms of taste, quantity, and price. My..."
50,Mariscos Mar De Cortez,4,-116.86998,33.04354725,Linda R.,4,Food here is usually pretty good & their Micheladas are the best.All my friends & family like it here
