,Restaurant,Rating,Longtidude,Latitude
0,El Taco Loco at Ramona Market,4.0,-116.865939,33.043082
1,Los Rancheros Mexican & Seafood,3.5,-116.882667130182,33.0337381709151
2,Tacos Asadero,4.5,-117.059148,33.00225
3,Tacos el Trompo,4.5,-117.252822,32.7852176
4,La Cocina,4.0,-116.86392,33.04504
5,Tacos El Gallo,4.5,-116.935444,32.801604
6,TJ Tacos,4.5,-117.072496153414,33.1283149714616
7,Los Amigos Mexican Food,2.5,-116.8185696,33.0058086
8,Quecho Elevated Mexican Eatery,4.5,-116.600862555206,33.0782966746628
9,El Cabrón,4.0,-117.04926788806917,32.742029775122376
10,Mr Birria,4.5,-116.99629,32.83953
11,Taco Taco Poway,4.0,-117.04,32.95965
12,Bad Hombres Good Mexican Food,4.5,-116.996101,32.839187
13,Mi Sonora Querida Foodtruck,5.0,-116.87258,33.03945
14,Taqueria Las Mulas,4.5,-116.946798,32.807893
15,Three Amigos,4.0,-116.87385,32.939736
16,Mariscos Mar De Cortez,4.0,-116.869978308678,33.0435472504064
17,Craft and Taco Lounge,4.5,-117.087490707636,33.1194380523185
18,Tapatios Mexican Grill,4.5,-116.763461013953,32.8352330886349
19,Yesenia's Mexican Food,4.5,-117.074153423309,32.983072101016
20,Senor Taquero 2,4.5,-117.08477,32.94536
21,El Michoacan,4.0,-116.864974975586,33.0436096191406
22,Alpine Taco Shop,4.0,-116.7733313,32.837059
23,Mananas Mexican Food,3.0,-116.87133,33.0409
24,El Ranchito Taco Shop,4.0,-117.03564,32.9565655
25,Mi Rancho Market,4.5,-117.078651,33.112626
26,Taqueria Pepitos,4.5,-117.000421,32.832895
27,Rancho Viejo,4.0,-117.07738760331,33.0127914082969
28,Mi Ranchito Taco Shop,3.0,-116.86896,33.04143
29,Birrieria Ay Jalisco,4.0,-117.095108185111,33.1266505217966
30,The Taco Stand,4.5,-117.276808878945,32.8393664861151
31,Casa Reveles,4.0,-116.864212036133,33.0440292358398
32,Mi Ranchito Mexican Restaurant,4.5,-117.1075061,32.9502725
33,Chuy's Taqueria y Burritos,4.5,-116.96295333,32.78738733
34,The Taco Truck,3.0,-116.955447,33.267564
35,Daniel's Taco Shop,4.5,-116.944132671,32.7880665563
36,The Taco Stand,4.0,-117.29388,33.04407
37,Diego's Taco Shop,3.5,-116.78108,32.84135
38,Kennedy's Meat,4.0,-117.05647406800503,33.13578424877127
39,Tacos El Gordo,4.5,-117.08917,32.62905
40,El Patron Taco Shop,4.5,-116.995559,32.707614
41,City Tacos,4.0,-117.018342186508,32.7650642806573
42,El Rancho,4.5,-117.022682,32.836367
43,Birrieria La Loteria,5.0,-117.0499749,32.7403436
44,La Cresta Restaurant & Caffé,5.0,-116.86397,32.81084
45,Taco Bar,4.0,-117.1917559,33.1423724
46,Salsa Mexican Food,4.5,-117.04406,32.95674
47,Rubio's Coastal Grill,3.5,-116.880043029785,33.0351982116699
48,Los Jilbertos,3.5,-116.37697,33.2563
49,Kotija Jr Taco Shop,4.5,-117.174479378246,32.9067920084249
