Team_Number_Id,TeamPoints,FieldGoals,X3PointShots,FreeThrows,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls
1,102,0.5,0.591,0.529,10,42,26,6,8,17,24
1,102,0.507,0.35,0.758,3,37,26,10,6,12,20
1,92,0.413,0.32,0.727,10,37,26,14,5,13,25
1,119,0.462,0.394,0.769,7,38,28,8,3,19,33
1,103,0.407,0.409,0.778,12,41,18,10,5,8,17
1,91,0.38,0.37,0.964,9,38,20,7,3,15,16
1,100,0.513,0.45,0.722,13,46,23,8,4,18,12
1,114,0.56,0.393,0.826,3,36,33,10,5,13,20
1,94,0.444,0.136,0.846,11,37,26,6,8,18,12
1,109,0.482,0.333,0.783,13,38,22,7,3,10,17
1,99,0.475,0.208,0.692,8,46,20,7,5,9,18
1,106,0.424,0.28,0.794,12,43,17,16,6,10,23
1,115,0.512,0.417,0.875,9,32,31,2,4,13,24
1,100,0.5,0.294,0.864,11,42,26,6,7,18,14
1,105,0.533,0.522,0.813,5,44,31,8,5,12,17
1,109,0.524,0.458,0.857,4,31,36,8,8,16,14
1,112,0.541,0.48,0.87,5,30,25,9,1,16,24
1,98,0.432,0.382,0.625,6,46,22,12,4,10,22
1,96,0.414,0.37,0.737,11,43,26,9,4,12,15
1,108,0.519,0.429,0.704,6,47,27,11,7,16,20
1,95,0.418,0.333,0.692,16,52,26,15,1,14,16
1,87,0.372,0.31,0.741,5,42,24,12,3,12,12
1,99,0.417,0.296,0.875,9,41,24,4,4,10,19
1,93,0.434,0.333,0.824,5,40,26,10,7,9,17
1,127,0.645,0.571,0.813,6,40,36,3,5,9,17
1,104,0.514,0.385,0.75,4,37,26,7,9,15,15
1,105,0.494,0.368,0.667,6,43,26,6,6,17,21
1,107,0.447,0.522,0.771,9,43,28,6,3,14,21
1,77,0.408,0.174,0.786,8,38,20,8,4,22,19
1,90,0.367,0.31,0.789,17,51,25,9,4,11,17
1,109,0.506,0.345,0.731,7,44,23,13,5,15,19
1,98,0.407,0.261,0.867,11,47,24,9,3,10,17
1,115,0.512,0.353,0.742,10,46,17,9,5,14,15
1,107,0.444,0.481,0.667,7,41,25,13,2,12,23
1,96,0.444,0.52,0.826,8,37,21,17,4,17,15
1,106,0.488,0.435,0.667,6,49,27,3,3,14,13
1,120,0.472,0.516,0.833,13,42,34,14,3,8,15
1,105,0.483,0.522,0.563,15,47,34,6,3,16,17
1,105,0.493,0.345,0.852,6,35,23,13,7,12,12
1,110,0.609,0.522,0.875,4,32,30,7,6,17,17
1,107,0.476,0.423,0.762,9,40,31,10,7,9,19
1,93,0.44,0.3,0.714,5,42,31,8,1,10,19
1,110,0.5,0.448,0.731,9,43,30,12,3,16,23
1,103,0.482,0.4,1,10,47,27,6,5,16,13
1,112,0.563,0.357,0.667,8,29,30,8,5,10,20
1,113,0.463,0.364,0.962,12,45,29,4,4,11,18
1,105,0.476,0.478,0.636,7,42,26,12,4,13,17
