ID,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoals_pct,X3PointShots_pct,Assists,OppFieldGoals,OppFieldGoals_pct,Opp3PointShots_pct,OppTotalRebounds
1,ATL,1,10/29/2014,Away,TOR,L,102,109,40,0.5,0.591,26,37,0.411,0.308,48
2,ATL,2,11/1/2014,Home,IND,W,102,92,35,0.507,0.35,26,31,0.383,0.375,44
3,ATL,3,11/5/2014,Away,SAS,L,92,94,38,0.413,0.32,26,31,0.449,0.294,50
4,ATL,4,11/7/2014,Away,CHO,L,119,122,43,0.462,0.394,28,48,0.495,0.286,51
5,ATL,5,11/8/2014,Home,NYK,W,103,96,33,0.407,0.409,18,40,0.476,0.381,44
6,ATL,6,11/10/2014,Away,NYK,W,91,85,27,0.38,0.37,20,36,0.434,0.231,40
7,ATL,7,11/12/2014,Home,UTA,W,100,97,39,0.513,0.45,23,43,0.5,0.217,30
8,ATL,8,11/14/2014,Home,MIA,W,114,103,42,0.56,0.393,33,35,0.473,0.476,32
9,ATL,9,11/15/2014,Away,CLE,L,94,127,40,0.444,0.136,26,49,0.544,0.613,47
10,ATL,10,11/18/2014,Home,LAL,L,109,114,41,0.482,0.333,22,47,0.54,0.353,44
11,ATL,11,11/21/2014,Home,DET,W,99,89,38,0.475,0.208,20,31,0.373,0.19,45
12,ATL,12,11/25/2014,Away,WAS,W,106,102,36,0.424,0.28,17,36,0.429,0.45,47
13,ATL,13,11/26/2014,Home,TOR,L,115,126,42,0.512,0.417,31,42,0.512,0.483,36
14,ATL,14,11/28/2014,Home,NOP,W,100,91,38,0.5,0.294,26,36,0.404,0.292,42
15,ATL,15,11/29/2014,Home,CHO,W,105,75,40,0.533,0.522,31,29,0.33,0.217,38
16,ATL,16,12/2/2014,Home,BOS,W,109,105,43,0.524,0.458,36,41,0.488,0.522,42
17,ATL,17,12/3/2014,Away,MIA,W,112,102,40,0.541,0.48,25,36,0.563,0.375,30
18,ATL,18,12/5/2014,Away,BRK,W,98,75,35,0.432,0.382,22,30,0.375,0.167,51
19,ATL,19,12/7/2014,Home,DEN,W,96,84,36,0.414,0.37,26,34,0.366,0.171,52
20,ATL,20,12/8/2014,Away,IND,W,108,92,40,0.519,0.429,27,37,0.44,0.333,42
21,ATL,21,12/10/2014,Home,PHI,W,95,79,38,0.418,0.333,26,30,0.417,0.24,39
22,ATL,22,12/12/2014,Home,ORL,W,87,81,29,0.372,0.31,24,30,0.39,0.346,46
23,ATL,23,12/13/2014,Away,ORL,L,99,100,35,0.417,0.296,24,37,0.5,0.476,36
24,ATL,24,12/15/2014,Home,CHI,W,93,86,36,0.434,0.333,26,35,0.376,0.207,57
25,ATL,25,12/17/2014,Away,CLE,W,127,98,49,0.645,0.571,36,37,0.451,0.267,33
26,ATL,26,12/20/2014,Away,HOU,W,104,97,38,0.514,0.385,26,34,0.395,0.349,43
27,ATL,27,12/22/2014,Away,DAL,W,105,102,40,0.494,0.368,26,39,0.433,0.393,47
28,ATL,28,12/23/2014,Home,LAC,W,107,104,34,0.447,0.522,28,37,0.402,0.379,51
29,ATL,29,12/26/2014,Home,MIL,L,77,107,31,0.408,0.174,20,40,0.506,0.421,40
30,ATL,30,12/27/2014,Away,MIL,W,90,85,33,0.367,0.31,25,31,0.388,0.4,47
31,ATL,31,12/30/2014,Home,CLE,W,109,101,40,0.506,0.345,23,37,0.44,0.419,42
32,ATL,32,1/2/2015,Away,UTA,W,98,92,33,0.407,0.261,24,32,0.372,0.323,47
33,ATL,33,1/3/2015,Away,POR,W,115,107,43,0.512,0.353,17,42,0.452,0.394,44
34,ATL,34,1/5/2015,Away,LAC,W,107,98,36,0.444,0.481,25,33,0.446,0.28,45
35,ATL,35,1/7/2015,Home,MEM,W,96,86,32,0.444,0.52,21,35,0.443,0.294,39
36,ATL,36,1/9/2015,Away,DET,W,106,103,40,0.488,0.435,27,38,0.396,0.302,46
37,ATL,37,1/11/2015,Home,WAS,W,120,89,42,0.472,0.516,34,36,0.474,0.25,39
38,ATL,38,1/13/2015,Away,PHI,W,105,87,42,0.483,0.522,34,31,0.408,0.36,35
39,ATL,39,1/14/2015,Away,BOS,W,105,91,36,0.493,0.345,23,34,0.41,0.333,40
40,ATL,40,1/16/2015,Away,TOR,W,110,89,42,0.609,0.522,30,35,0.427,0.24,35
41,ATL,41,1/17/2015,Away,CHI,W,107,99,40,0.476,0.423,31,37,0.463,0.346,43
42,ATL,42,1/19/2015,Home,DET,W,93,82,37,0.44,0.3,31,29,0.354,0.257,61
43,ATL,43,1/21/2015,Home,IND,W,110,91,39,0.5,0.448,30,31,0.397,0.2,42
44,ATL,44,1/23/2015,Home,OKC,W,103,93,40,0.482,0.4,27,36,0.414,0.385,36
45,ATL,45,1/25/2015,Home,MIN,W,112,100,45,0.563,0.357,30,37,0.521,0.375,37
46,ATL,46,1/28/2015,Home,BRK,W,113,102,38,0.463,0.364,29,39,0.448,0.375,35
47,ATL,47,1/30/2015,Home,POR,W,105,99,40,0.476,0.478,26,39,0.448,0.367,46
48,ATL,48,1/31/2015,Home,PHI,W,91,85,34,0.436,0.357,20,31,0.383,0.4,44
49,ATL,49,2/2/2015,Away,NOP,L,100,115,40,0.449,0.318,19,43,0.5,0.391,52
50,ATL,50,2/4/2015,Home,WAS,W,105,96,38,0.475,0.44,24,34,0.442,0.25,41
51,ATL,51,2/6/2015,Home,GSW,W,124,116,38,0.494,0.556,28,47,0.456,0.364,51
52,ATL,52,2/8/2015,Away,MEM,L,88,94,33,0.413,0.4,17,36,0.391,0.231,55
53,ATL,53,2/9/2015,Away,MIN,W,117,105,44,0.512,0.476,26,42,0.452,0.313,50
54,ATL,54,2/11/2015,Away,BOS,L,88,89,33,0.423,0.241,23,30,0.323,0.323,56
55,ATL,55,2/20/2015,Home,TOR,L,80,105,29,0.33,0.211,19,43,0.448,0.433,52
56,ATL,56,2/22/2015,Away,MIL,W,97,86,35,0.402,0.3,23,32,0.444,0.25,38
57,ATL,57,2/25/2015,Home,DAL,W,104,87,39,0.459,0.371,28,34,0.425,0.161,44
58,ATL,58,2/27/2015,Home,ORL,W,95,88,36,0.444,0.452,27,36,0.45,0.346,40
59,ATL,59,2/28/2015,Away,MIA,W,93,91,34,0.43,0.4,23,32,0.395,0.269,47
60,ATL,60,3/3/2015,Home,HOU,W,104,96,39,0.453,0.276,23,39,0.433,0.341,41
61,ATL,61,3/6/2015,Home,CLE,W,106,97,43,0.512,0.286,27,29,0.42,0.342,37
62,ATL,62,3/7/2015,Away,PHI,L,84,92,30,0.39,0.44,20,35,0.368,0.351,55
63,ATL,63,3/9/2015,Home,SAC,W,130,105,53,0.602,0.556,42,39,0.481,0.4,40
64,ATL,64,3/11/2015,Away,DEN,L,102,115,34,0.42,0.333,18,42,0.5,0.419,44
65,ATL,65,3/13/2015,Away,PHO,W,96,87,39,0.47,0.444,22,32,0.41,0.385,45
66,ATL,66,3/15/2015,Away,LAL,W,91,86,34,0.447,0.217,25,34,0.4,0.389,54
67,ATL,67,3/16/2015,Away,SAC,W,110,103,38,0.452,0.387,25,38,0.469,0.35,45
68,ATL,68,3/18/2015,Away,GSW,L,95,114,31,0.356,0.364,24,44,0.524,0.467,44
69,ATL,69,3/20/2015,Away,OKC,L,115,123,41,0.5,0.448,20,43,0.512,0.433,44
70,ATL,70,3/22/2015,Home,SAS,L,95,114,38,0.475,0.5,25,46,0.561,0.412,43
71,ATL,71,3/25/2015,Away,ORL,W,95,83,39,0.433,0.323,21,32,0.41,0.188,42
72,ATL,72,3/27/2015,Home,MIA,W,99,86,37,0.514,0.333,31,32,0.39,0.314,41
73,ATL,73,3/28/2015,Away,CHO,L,100,115,37,0.43,0.5,32,42,0.525,0.462,42
74,ATL,74,3/30/2015,Home,MIL,W,101,88,36,0.456,0.31,29,34,0.453,0.235,39
75,ATL,75,3/31/2015,Away,DET,L,95,105,40,0.476,0.32,25,41,0.494,0.379,38
76,ATL,76,4/4/2015,Home,BRK,W,131,99,49,0.598,0.515,40,39,0.488,0.435,39
77,ATL,77,4/7/2015,Home,PHO,W,96,69,41,0.494,0.16,21,26,0.313,0.2,37
78,ATL,78,4/8/2015,Away,BRK,W,114,111,43,0.5,0.393,35,41,0.471,0.269,47
79,ATL,79,4/10/2015,Home,CHO,W,104,80,41,0.5,0.357,31,30,0.361,0.267,46
80,ATL,80,4/12/2015,Away,WAS,L,99,108,36,0.414,0.31,24,39,0.459,0.429,51
81,ATL,81,4/13/2015,Home,NYK,L,108,112,39,0.443,0.344,27,43,0.558,0.52,39
82,ATL,82,4/15/2015,Away,CHI,L,85,91,36,0.391,0.276,15,31,0.403,0.292,50
110,BOS,1,10/29/2014,Home,BRK,W,121,105,49,0.557,0.364,28,39,0.488,0.368,39
210,BOS,2,11/1/2014,Away,HOU,L,90,104,37,0.378,0.04,20,32,0.421,0.353,49
310,BOS,3,11/3/2014,Away,DAL,L,113,118,45,0.441,0.355,29,44,0.537,0.56,36
410,BOS,4,11/5/2014,Home,TOR,L,107,110,40,0.513,0.385,22,42,0.483,0.438,24
510,BOS,5,11/7/2014,Home,IND,W,101,98,39,0.459,0.333,26,40,0.455,0.263,42
610,BOS,6,11/8/2014,Away,CHI,W,106,101,42,0.519,0.368,25,42,0.457,0.444,38
710,BOS,7,11/12/2014,Home,OKC,L,94,109,37,0.446,0.273,28,40,0.488,0.417,41
83,BOS,8,11/14/2014,Home,CLE,L,121,122,48,0.545,0.3,32,43,0.506,0.348,40
91,BOS,9,11/17/2014,Home,PHO,L,114,118,45,0.517,0.4,28,48,0.516,0.429,40
