id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,rating,coordinates/latitude,coordinates/longitude,transactions/0,transactions/1,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,price,location/display_address/2,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title
uAClDzKuffu9EilZ61pP0A,tacos-el-trompo-san-diego-2,Tacos el Trompo,https://s3-media1.fl.yelpcdn.com/bphoto/4mwwULdpt5gGi49-JkmMyQ/o.jpg,false,https://www.yelp.com/biz/tacos-el-trompo-san-diego-2?adjust_creative=MWxVGaN-wwQ0ihWaIfhrqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MWxVGaN-wwQ0ihWaIfhrqQ,6,mexican,Mexican,4.5,32.7852176,-117.252822,delivery,pickup,3819 Mission Blvd,,,San Diego,92109,US,CA,3819 Mission Blvd,"San Diego, CA 92109",+18583526706,(858) 352-6706,9249.198891924463,,,,,,
DAZ6F_1zDZp3qa6X1OjuCg,city-tacos-san-diego,City Tacos,https://s3-media3.fl.yelpcdn.com/bphoto/s0Z9Zic1xLzty6BXXAGsgg/o.jpg,false,https://www.yelp.com/biz/city-tacos-san-diego?adjust_creative=MWxVGaN-wwQ0ihWaIfhrqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MWxVGaN-wwQ0ihWaIfhrqQ,1940,tacos,Tacos,4.5,32.74885802959357,-117.12943449824668,delivery,,3028 University Ave,,,San Diego,92104,US,CA,3028 University Ave,"San Diego, CA 92104",+16192962303,(619) 296-2303,5179.104840792347,$,,,,,
L2Bhgxgt6CCUZuisKXbJmg,crack-taco-shop-san-diego,CRACK Taco Shop,https://s3-media2.fl.yelpcdn.com/bphoto/P2q67uEJtjrE26fcBfuAwg/o.jpg,false,https://www.yelp.com/biz/crack-taco-shop-san-diego?adjust_creative=MWxVGaN-wwQ0ihWaIfhrqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MWxVGaN-wwQ0ihWaIfhrqQ,500,tacos,Tacos,4,32.7803100019414,-117.103043161333,delivery,pickup,4242 Camino Del Rio N,Ste 28,,San Diego,92108,US,CA,4242 Camino Del Rio N,Ste 28,+16192692828,(619) 269-2828,4905.809147639643,,"San Diego, CA 92108",,,,
TMPbnPfCRUv7adgOKwJ3wA,tacos-el-panson-san-diego,Tacos El Panson,https://s3-media1.fl.yelpcdn.com/bphoto/B1F0475bQcM8IVMbxVs_EQ/o.jpg,false,https://www.yelp.com/biz/tacos-el-panson-san-diego?adjust_creative=MWxVGaN-wwQ0ihWaIfhrqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MWxVGaN-wwQ0ihWaIfhrqQ,346,latin,Latin American,4.5,32.75486,-117.09907,delivery,,4433 El Cajon Blvd,,,San Diego,92115,US,CA,4433 El Cajon Blvd,"San Diego, CA 92115",+16192412222,(619) 241-2222,6495.604013282882,$,,tacos,Tacos,,
jjkHyoBlzNMnHJNXwyxsJQ,the-taco-stand-san-diego-6,The Taco Stand,https://s3-media3.fl.yelpcdn.com/bphoto/dhkmGslQsBUenBaz6I0_Uw/o.jpg,false,https://www.yelp.com/biz/the-taco-stand-san-diego-6?adjust_creative=MWxVGaN-wwQ0ihWaIfhrqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MWxVGaN-wwQ0ihWaIfhrqQ,422,mexican,Mexican,4,32.7411646431234,-117.129678681992,delivery,pickup,3000 Upas St,Ste 105,,San Diego,92104,US,CA,3000 Upas St,Ste 105,+16197958797,(619) 795-8797,5948.623661662907,$,"San Diego, CA 92104",foodstands,Food Stands,,
EGj92CH6mWFiRvHB1zyMAw,lucha-libre-gourmet-taco-shop-san-diego,Lucha Libre Gourmet Taco Shop,https://s3-media4.fl.yelpcdn.com/bphoto/58q54BEr7a9JZFAwOoaBbQ/o.jpg,false,https://www.yelp.com/biz/lucha-libre-gourmet-taco-shop-san-diego?adjust_creative=MWxVGaN-wwQ0ihWaIfhrqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MWxVGaN-wwQ0ihWaIfhrqQ,7825,mexican,Mexican,4,32.743229,-117.181628,delivery,pickup,1810 W Washington St,,,San Diego,92103,US,CA,1810 W Washington St,"San Diego, CA 92103",+16192968226,(619) 296-8226,5860.274607644788,$,,,,,
dBtZR2CB8PVxndyF6K2wAQ,the-taco-stand-la-jolla,The Taco Stand,https://s3-media1.fl.yelpcdn.com/bphoto/76K7pGZt3P0ddwfrBVWyNg/o.jpg,false,https://www.yelp.com/biz/the-taco-stand-la-jolla?adjust_creative=MWxVGaN-wwQ0ihWaIfhrqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MWxVGaN-wwQ0ihWaIfhrqQ,3569,foodstands,Food Stands,4.5,32.8393664861151,-117.276808878945,delivery,pickup,621 Pearl St,,,La Jolla,92037,US,CA,621 Pearl St,"La Jolla, CA 92037",+18585516666,(858) 551-6666,12687.596125558744,$,,mexican,Mexican,,
B52EkpFK0GVtiJd17qokzA,las-panchitas-fresh-mexican-grill-san-diego-2,Las Panchitas Fresh Mexican Grill,https://s3-media4.fl.yelpcdn.com/bphoto/pDVaupHHtX6-HB9X6RXnpQ/o.jpg,false,https://www.yelp.com/biz/las-panchitas-fresh-mexican-grill-san-diego-2?adjust_creative=MWxVGaN-wwQ0ihWaIfhrqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MWxVGaN-wwQ0ihWaIfhrqQ,203,mexican,Mexican,4.5,32.8082291369159,-117.160630822289,delivery,pickup,3542 Ashford St,,,San Diego,92111,US,CA,3542 Ashford St,"San Diego, CA 92111",+18588746710,(858) 874-6710,2056.825199380479,$,,,,,
OEuaXlUCRD3c5pOS5knIcg,mikes-taco-club-san-diego,Mike's Taco Club,https://s3-media2.fl.yelpcdn.com/bphoto/jLa8Bhyl5knv88JRssFWFA/o.jpg,false,https://www.yelp.com/biz/mikes-taco-club-san-diego?adjust_creative=MWxVGaN-wwQ0ihWaIfhrqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MWxVGaN-wwQ0ihWaIfhrqQ,1014,mexican,Mexican,4.5,32.74765,-117.25199,delivery,pickup,5060 Newport Ave,,,San Diego,92107,US,CA,5060 Newport Ave,"San Diego, CA 92107",,,10327.396619847415,$,,seafood,Seafood,bars,Bars
2HZnqrM_yLDd4s9MePXYKw,taco-time-san-diego,Taco Time,https://s3-media1.fl.yelpcdn.com/bphoto/L_wfGAy21EJKPfEMNVW8bw/o.jpg,false,https://www.yelp.com/biz/taco-time-san-diego?adjust_creative=MWxVGaN-wwQ0ihWaIfhrqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MWxVGaN-wwQ0ihWaIfhrqQ,20,mexican,Mexican,4.5,32.7831167411328,-117.172112330021,,,6882 Linda Vista Rd,,,San Diego,92111,US,CA,6882 Linda Vista Rd,"San Diego, CA 92111",+18586499807,(858) 649-9807,1878.0836852590753,$,,hotdogs,Fast Food,,
